brand_name,brand_id,business_status,on_sale_series_count,pinyin
奥迪,2,1,39,A
埃安,242,1,5,A
AITO,483,1,2,A
阿斯顿·马丁,80,1,5,A
阿尔法·罗密欧,51,1,2,A
阿维塔,475,1,1,A
爱驰,232,1,2,A
安凯客车,115,1,2,A
AUXUN傲旋,336,1,1,A
AM晓奥,410,1,1,A
ALPINA,114,1,0,A
ABT,211,1,0,A
AC Schnitzer,113,1,0,A
艾康尼克,178,1,0,A
Apollo,281,1,0,A
Arash,177,1,0,A
Aria,224,1,0,A
AEV ROBOTICS,256,1,0,A
Aurus,312,1,0,A
Agile Automotive,314,1,0,A
ATS,313,1,0,A
Abarth,538,1,0,A
Aspark,364,1,0,A
Ariel,402,1,0,A
Atlis,476,1,0,A
AEHRA,533,1,0,A
Alpha Motor,549,1,0,A
AIM,879,1,0,A
APEX,380,1,0,A
阿尔特,561,1,0,A
AC Cars,873,1,0,A
Alpine,539,1,0,A
阿莫迪罗,431,1,1,A
Aviar,474,1,0,A
Aznom,511,1,0,A
奔驰,3,1,51,B
宝马,4,1,36,B
本田,9,1,25,B
别克,12,1,15,B
比亚迪,16,1,23,B
保时捷,20,1,10,B
奔腾,27,1,9,B
宾利,47,1,5,B
宝骏,366,1,3,B
标致,61,1,8,B
北京,52,1,6,B
北京汽车,68,1,12,B
北汽新能源,93,1,0,B
北汽制造,78,1,13,B
北汽昌河,60,1,9,B
北汽瑞翔,444,1,6,B
北汽幻速,94,1,0,B
北汽雷驰,865,1,2,B
北汽威旺,69,1,0,B
宝沃,116,1,0,B
博速,118,1,2,B
比速汽车,117,1,0,B
Bowler,452,1,0,B
百智新能源,459,1,1,B
宝能汽车,507,1,0,B
Bertone,560,1,0,B
北汽道达,175,1,0,B
比德文汽车,334,1,0,B
比克汽车,411,1,1,B
北京清行,240,1,0,B
博郡汽车,263,1,0,B
布加迪,82,1,0,B
拜腾,204,1,0,B
宾尼法利纳,219,1,0,B
宝腾汽车,254,1,0,B
北汽泰普,407,1,1,B
保斐利,226,1,0,B
百度Apollo,526,1,0,B
Bollinger,346,1,0,B
博世,270,1,0,B
BAC,315,1,0,B
宝骐汽车,519,1,0,B
BeyonCa,545,1,0,B
长安,35,1,23,C
